PG,SG,SF,PF,C,G,F,UTIL
Russell Westbrook (11999091),Devin Booker (11999128),Andrew Wiggins (11999191),DeMarcus Cousins (11999182),Julius Randle (11999124),Chasson Randle (11999405),Brandon Ingram (11999155),Darius Miller (11999355)
Devin Booker (11999128),Dennis Schroder (11999229),Andrew Wiggins (11999191),Julius Randle (11999124),Jahlil Okafor (11999227),Bradley Beal (11999112),DeMarcus Cousins (11999182),Jeff Green (11999264)
Devin Booker (11999128),Brandon Ingram (11999155),Kevin Durant (11999108),Julius Randle (11999124),Jahlil Okafor (11999227),Mikal Bridges (11999314),DeMarcus Cousins (11999182),Dennis Schroder (11999229)
Dennis Schroder (11999229),Devin Booker (11999128),Brandon Ingram (11999155),DeMarcus Cousins (11999182),Draymond Green (11999164),Damian Lillard (11999115),Andrew Wiggins (11999191),Jahlil Okafor (11999227)
Devin Booker (11999128),Dennis Schroder (11999229),Brandon Ingram (11999155),Julius Randle (11999124),Jahlil Okafor (11999227),Andrew Wiggins (11999191),DeMarcus Cousins (11999182),CJ McCollum (11999151)
Devin Booker (11999128),Mikal Bridges (11999314),Andrew Wiggins (11999191),Julius Randle (11999124),DeMarcus Cousins (11999182),Dennis Schroder (11999229),E'Twaun Moore (11999291),Russell Westbrook (11999091)
Devin Booker (11999128),Andrew Wiggins (11999191),Andre Iguodala (11999296),Josh Jackson (11999213),Jahlil Okafor (11999227),Dennis Schroder (11999229),Julius Randle (11999124),Karl-Anthony Towns (11999098)
Devin Booker (11999128),Chasson Randle (11999405),Andrew Wiggins (11999191),Julius Randle (11999124),DeMarcus Cousins (11999182),Dennis Schroder (11999229),Josh Hart (11999235),Russell Westbrook (11999091)
Dennis Schroder (11999229),Devin Booker (11999128),Andrew Wiggins (11999191),Julius Randle (11999124),Jahlil Okafor (11999227),Chasson Randle (11999405),Draymond Green (11999164),Karl-Anthony Towns (11999098)
Dennis Schroder (11999229),Brandon Ingram (11999155),Andrew Wiggins (11999191),Julius Randle (11999124),Jahlil Okafor (11999227),Stephen Curry (11999104),Josh Jackson (11999213),Draymond Green (11999164)
Dennis Schroder (11999229),Devin Booker (11999128),Andrew Wiggins (11999191),Darius Miller (11999355),DeMarcus Cousins (11999182),Josh Okogie (11999254),Julius Randle (11999124),Russell Westbrook (11999091)
Dennis Schroder (11999229),Brandon Ingram (11999155),Andrew Wiggins (11999191),Josh Jackson (11999213),Julius Randle (11999124),Russell Westbrook (11999091),Darius Miller (11999355),DeMarcus Cousins (11999182)
Russell Westbrook (11999091),Andrew Wiggins (11999191),Brandon Ingram (11999155),Darius Miller (11999355),Jahlil Okafor (11999227),Dennis Schroder (11999229),DeMarcus Cousins (11999182),Damian Lillard (11999115)
Damian Lillard (11999115),Devin Booker (11999128),Andrew Wiggins (11999191),Draymond Green (11999164),Julius Randle (11999124),Dennis Schroder (11999229),DeMarcus Cousins (11999182),Darius Miller (11999355)
Devin Booker (11999128),Dennis Schroder (11999229),Josh Hart (11999235),Julius Randle (11999124),DeMarcus Cousins (11999182),Russell Westbrook (11999091),Meyers Leonard (11999343),Jahlil Okafor (11999227)
