PG,SG,SF,PF,C,G,F,UTIL
Devin Booker (11999128),Chasson Randle (11999405),Brandon Ingram (11999155),Julius Randle (11999124),DeMarcus Cousins (11999182),Russell Westbrook (11999091),Meyers Leonard (11999343),Jahlil Okafor (11999227)
Dennis Schroder (11999229),Andrew Wiggins (11999191),Josh Jackson (11999213),DeMarcus Cousins (11999182),Jahlil Okafor (11999227),Stephen Curry (11999104),Julius Randle (11999124),Steven Adams (11999140)
Devin Booker (11999128),Brandon Ingram (11999155),Anthony Tolliver (11999361),Julius Randle (11999124),Jahlil Okafor (11999227),Seth Curry (11999375),Andrew Wiggins (11999191),Russell Westbrook (11999091)
Rajon Rondo (11999217),Dennis Schroder (11999229),Andrew Wiggins (11999191),Sam Dekker (11999334),Jahlil Okafor (11999227),Russell Westbrook (11999091),Julius Randle (11999124),DeMarcus Cousins (11999182)
Dennis Schroder (11999229),Kentavious Caldwell-Pope (11999259),Andrew Wiggins (11999191),Josh Jackson (11999213),Jahlil Okafor (11999227),Brandon Ingram (11999155),Julius Randle (11999124),Karl-Anthony Towns (11999098)
Dennis Schroder (11999229),Devin Booker (11999128),Brandon Ingram (11999155),Julius Randle (11999124),Tyson Chandler (11999359),Andrew Wiggins (11999191),Anthony Tolliver (11999361),Russell Westbrook (11999091)
Devin Booker (11999128),Brandon Ingram (11999155),Andrew Wiggins (11999191),Zach Collins (11999347),Jahlil Okafor (11999227),De'Anthony Melton (11999319),Julius Randle (11999124),Russell Westbrook (11999091)
Russell Westbrook (11999091),Andrew Wiggins (11999191),Brandon Ingram (11999155),Julius Randle (11999124),Jahlil Okafor (11999227),Devin Booker (11999128),Gorgui Dieng (11999379),Moe Harkless (11999301)
Shaun Livingston (11999563),Devin Booker (11999128),Anthony Tolliver (11999361),Julius Randle (11999124),DeMarcus Cousins (11999182),Brandon Ingram (11999155),Andrew Wiggins (11999191),Russell Westbrook (11999091)
Dennis Schroder (11999229),Andrew Wiggins (11999191),Brandon Ingram (11999155),Julius Randle (11999124),Ian Mahinmi (11999365),Devin Booker (11999128),Moe Harkless (11999301),Russell Westbrook (11999091)
Devin Booker (11999128),Dennis Schroder (11999229),Brandon Ingram (11999155),Julius Randle (11999124),DeMarcus Cousins (11999182),Russell Westbrook (11999091),Gorgui Dieng (11999379),De'Anthony Melton (11999319)
Rajon Rondo (11999217),Andrew Wiggins (11999191),Brandon Ingram (11999155),Julius Randle (11999124),Jahlil Okafor (11999227),Devin Booker (11999128),Josh Jackson (11999213),Dennis Schroder (11999229)
Devin Booker (11999128),Andrew Wiggins (11999191),Josh Jackson (11999213),DeMarcus Cousins (11999182),Julius Randle (11999124),Dennis Schroder (11999229),Darius Miller (11999355),Paul George (11999100)
Russell Westbrook (11999091),Andrew Wiggins (11999191),Brandon Ingram (11999155),Darius Miller (11999355),Jahlil Okafor (11999227),Dennis Schroder (11999229),DeMarcus Cousins (11999182),Jusuf Nurkic (11999122)
Dennis Schroder (11999229),Devin Booker (11999128),Darius Miller (11999355),Josh Jackson (11999213),Draymond Green (11999164),Andrew Wiggins (11999191),DeMarcus Cousins (11999182),Russell Westbrook (11999091)
Dennis Schroder (11999229),Mikal Bridges (11999314),Andrew Wiggins (11999191),Julius Randle (11999124),Jahlil Okafor (11999227),Russell Westbrook (11999091),Draymond Green (11999164),Josh Jackson (11999213)
Dennis Schroder (11999229),Devin Booker (11999128),Trevor Ariza (11999175),Julius Randle (11999124),Jahlil Okafor (11999227),Andrew Wiggins (11999191),DeMarcus Cousins (11999182),Derrick Rose (11999142)
