PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,SF/PF,Kevin Knox (12011067),Kevin Knox,12011067,SF/PF/F/UTIL,5400,NY@CHA 01/28/2019 07:00PM ET,NY,20.51
,,,,,,,,,SF,Taurean Prince (12011064),Taurean Prince,12011064,SF/F/UTIL,5400,ATL@LAC 01/28/2019 10:30PM ET,ATL,24.98
,,,,,,,,,PG/SG,Allonzo Trier (12011080),Allonzo Trier,12011080,PG/SG/G/UTIL,5300,NY@CHA 01/28/2019 07:00PM ET,NY,18.26
,,,,,,,,,SF/PF,Marvin Williams (12011084),Marvin Williams,12011084,SF/PF/F/UTIL,5300,NY@CHA 01/28/2019 07:00PM ET,CHA,23.14
,,,,,,,,,SG/SF,Kent Bazemore (12011071),Kent Bazemore,12011071,SG/SF/F/G/UTIL,5300,ATL@LAC 01/28/2019 10:30PM ET,ATL,27.89
,,,,,,,,,PG/SG,Terry Rozier (12011076),Terry Rozier,12011076,PG/SG/G/UTIL,5300,BKN@BOS 01/28/2019 07:30PM ET,BOS,20.42
,,,,,,,,,SG/SF,Tyreke Evans (12011088),Tyreke Evans,12011088,SG/SF/F/G/UTIL,5200,GS@IND 01/28/2019 07:00PM ET,IND,20.03
,,,,,,,,,PF/C,Paul Millsap (12011093),Paul Millsap,12011093,PF/C/F/UTIL,5100,DEN@MEM 01/28/2019 08:00PM ET,DEN,27.67
,,,,,,,,,PG,Emmanuel Mudiay (12011097),Emmanuel Mudiay,12011097,PG/G/UTIL,5000,NY@CHA 01/28/2019 07:00PM ET,NY,26.13
,,,,,,,,,SG/SF,Nicolas Batum (12011113),Nicolas Batum,12011113,SG/SF/F/G/UTIL,4900,NY@CHA 01/28/2019 07:00PM ET,CHA,23.41
,,,,,,,,,SF/PF,Gordon Hayward (12011100),Gordon Hayward,12011100,SF/PF/F/UTIL,4900,BKN@BOS 01/28/2019 07:30PM ET,BOS,24.14
,,,,,,,,,SF/PF,Marcus Morris (12011104),Marcus Morris,12011104,SF/PF/F/UTIL,4900,BKN@BOS 01/28/2019 07:30PM ET,BOS,26.61
,,,,,,,,,SG/SF,Joe Harris (12011108),Joe Harris,12011108,SG/SF/F/G/UTIL,4900,BKN@BOS 01/28/2019 07:30PM ET,BKN,23.80
,,,,,,,,,SG/SF,Kevin Huerter (12011118),Kevin Huerter,12011118,SG/SF/F/G/UTIL,4800,ATL@LAC 01/28/2019 10:30PM ET,ATL,19.36
,,,,,,,,,SF/PF,JaMychal Green (12011123),JaMychal Green,12011123,SF/PF/F/UTIL,4800,DEN@MEM 01/28/2019 08:00PM ET,MEM,22.72
,,,,,,,,,C,Enes Kanter (12011127),Enes Kanter,12011127,C/UTIL,4700,NY@CHA 01/28/2019 07:00PM ET,NY,32.48
,,,,,,,,,SF/PF,DeMarre Carroll (12011129),DeMarre Carroll,12011129,SF/PF/F/UTIL,4700,BKN@BOS 01/28/2019 07:30PM ET,BKN,19.99
,,,,,,,,,SG/SF,DeAndre' Bembry (12011133),DeAndre' Bembry,12011133,SG/SF/F/G/UTIL,4600,ATL@LAC 01/28/2019 10:30PM ET,ATL,21.43
,,,,,,,,,PG,Monte Morris (12011151),Monte Morris,12011151,PG/G/UTIL,4600,DEN@MEM 01/28/2019 08:00PM ET,DEN,20.82
,,,,,,,,,PG/SG,Shabazz Napier (12011138),Shabazz Napier,12011138,PG/SG/G/UTIL,4600,BKN@BOS 01/28/2019 07:30PM ET,BKN,16.86
,,,,,,,,,PG/SG,Marcus Smart (12011142),Marcus Smart,12011142,PG/SG/G/UTIL,4600,BKN@BOS 01/28/2019 07:30PM ET,BOS,21.55
,,,,,,,,,PG/SG,Patrick Beverley (12011154),Patrick Beverley,12011154,PG/SG/G/UTIL,4500,ATL@LAC 01/28/2019 10:30PM ET,LAC,20.18
,,,,,,,,,PG/SF,Kyle Anderson (12011146),Kyle Anderson,12011146,PG/SF/F/G/UTIL,4500,DEN@MEM 01/28/2019 08:00PM ET,MEM,23.63
